DeltaS, gs_value[GS_RIGHT], gs_value[GS_LEFT],lfm_speed[LEFT],lfm_speed[RIGHT]
2, 842, 840, 199, 200
3, 820, 817, 198, 201
5, 830, 825, 198, 202
4, 843, 839, 198, 201
-3, 856, 859, 201, 198
-4, 853, 857, 201, 198
1, 850, 849, 199, 200
-3, 843, 846, 201, 198
0, 845, 845, 200, 200
1, 842, 841, 199, 200
1, 839, 838, 199, 200
1, 840, 839, 199, 200
1, 839, 838, 199, 200
4, 842, 838, 198, 201
2, 842, 840, 199, 200
2, 845, 843, 199, 200
-5, 841, 846, 202, 198
2, 845, 843, 199, 200
-2, 843, 845, 200, 199
4, 847, 843, 198, 201
-2, 845, 847, 200, 199
2, 845, 843, 199, 200
-5, 841, 846, 202, 198
1, 844, 843, 199, 200
-8, 837, 845, 203, 196
-4, 841, 845, 201, 198
1, 841, 840, 199, 200
4, 847, 843, 198, 201
3, 840, 837, 198, 201
-2, 840, 842, 200, 199
0, 842, 842, 200, 200
0, 840, 840, 200, 200
3, 839, 836, 198, 201
-3, 839, 842, 201, 198
-2, 839, 841, 200, 199
0, 844, 844, 200, 200
4, 842, 838, 198, 201
-1, 841, 842, 200, 199
2, 842, 840, 199, 200
-3, 841, 844, 201, 198
-2, 843, 845, 200, 199
-7, 839, 846, 202, 197
-2, 842, 844, 200, 199
2, 848, 846, 199, 200
-3, 843, 846, 201, 198
-1, 845, 846, 200, 199
-1, 844, 845, 200, 199
3, 845, 842, 198, 201
0, 843, 843, 200, 200
-2, 838, 840, 200, 199
1, 842, 841, 199, 200
0, 838, 838, 200, 200
-3, 840, 843, 201, 198
3, 841, 838, 198, 201
-1, 839, 840, 200, 199
0, 838, 838, 200, 200
2, 843, 841, 199, 200
-6, 835, 841, 202, 197
0, 840, 840, 200, 200
3, 840, 837, 198, 201
-4, 839, 843, 201, 198
0, 841, 841, 200, 200
2, 844, 842, 199, 200
2, 841, 839, 199, 200
0, 843, 843, 200, 200
-2, 842, 844, 200, 199
-1, 842, 843, 200, 199
3, 846, 843, 198, 201
-3, 842, 845, 201, 198
-2, 842, 844, 200, 199
-1, 845, 846, 200, 199
2, 846, 844, 199, 200
-6, 840, 846, 202, 197
0, 840, 840, 200, 200
-5, 840, 845, 202, 198
-3, 837, 840, 201, 198
2, 843, 841, 199, 200
0, 840, 840, 200, 200
4, 841, 837, 198, 201
-5, 839, 844, 202, 198
-1, 840, 841, 200, 199
4, 840, 836, 198, 201
2, 841, 839, 199, 200
6, 843, 837, 197, 202
2, 842, 840, 199, 200
-3, 839, 842, 201, 198
2, 842, 840, 199, 200
0, 844, 844, 200, 200
2, 843, 841, 199, 200
-6, 841, 847, 202, 197
1, 841, 840, 199, 200
3, 844, 841, 198, 201
8, 849, 841, 196, 203
1, 843, 842, 199, 200
-1, 844, 845, 200, 199
8, 847, 839, 196, 203
1, 840, 839, 199, 200
2, 842, 840, 199, 200
-2, 839, 841, 200, 199
0, 840, 840, 200, 200
3, 844, 841, 198, 201
4, 840, 836, 198, 201
3, 839, 836, 198, 201
0, 839, 839, 200, 200
3, 842, 839, 198, 201
-3, 843, 846, 201, 198
5, 841, 836, 198, 202
-2, 836, 838, 200, 199
2, 843, 841, 199, 200
3, 844, 841, 198, 201
-2, 840, 842, 200, 199
-1, 841, 842, 200, 199
0, 843, 843, 200, 200
490, 843, 353, 4, 396
487, 842, 355, 5, 394
548, 848, 300, -19, 419
542, 844, 302, -16, 416
545, 845, 300, -18, 418
543, 845, 302, -17, 417
326, 843, 517, 69, 330
30, 842, 812, 188, 212
31, 844, 813, 187, 212
1, 842, 841, 199, 200
3, 843, 840, 198, 201
-4, 843, 847, 201, 198
-1, 844, 845, 200, 199
3, 844, 841, 198, 201
1, 848, 847, 199, 200
4, 847, 843, 198, 201
2, 842, 840, 199, 200
-540, 300, 840, 416, -16
-545, 298, 843, 418, -18
-542, 299, 841, 416, -16
-546, 299, 845, 418, -18
-546, 298, 844, 418, -18
-539, 301, 840, 415, -15
-542, 299, 841, 416, -16
-540, 299, 839, 416, -16
-540, 301, 841, 416, -16
-544, 300, 844, 417, -17
-542, 300, 842, 416, -16
-546, 299, 845, 418, -18
-545, 298, 843, 418, -18
-543, 299, 842, 417, -17
-544, 299, 843, 417, -17
-542, 301, 843, 416, -16
-545, 299, 844, 418, -18
-543, 298, 841, 417, -17
-545, 298, 843, 418, -18
-546, 300, 846, 418, -18
-544, 301, 845, 417, -17
-547, 300, 847, 418, -18
-543, 301, 844, 417, -17
-541, 301, 842, 416, -16
-546, 300, 846, 418, -18
-540, 301, 841, 416, -16
-544, 298, 842, 417, -17
-545, 298, 843, 418, -18
-540, 301, 841, 416, -16
-545, 297, 842, 418, -18
-541, 300, 841, 416, -16
-545, 300, 845, 418, -18
-547, 298, 845, 418, -18
-541, 301, 842, 416, -16
-543, 300, 843, 417, -17
-106, 740, 846, 242, 157
-546, 299, 845, 418, -18
-101, 739, 840, 240, 159
-546, 298, 844, 418, -18
-106, 736, 842, 242, 157
-109, 736, 845, 243, 156
-542, 300, 842, 416, -16
-104, 741, 845, 241, 158
-107, 737, 844, 242, 157
-106, 737, 843, 242, 157
-545, 300, 845, 418, -18
-112, 734, 846, 244, 155
-103, 740, 843, 241, 158
-105, 739, 844, 242, 158
-101, 741, 842, 240, 159
-540, 300, 840, 416, -16
-99, 741, 840, 239, 160
-106, 740, 846, 242, 157
-103, 739, 842, 241, 158
-98, 742, 840, 239, 160
-543, 301, 844, 417, -17
-106, 740, 846, 242, 157
-104, 738, 842, 241, 158
-107, 739, 846, 242, 157
-103, 739, 842, 241, 158
-104, 739, 843, 241, 158
-101, 742, 843, 240, 159
-108, 737, 845, 243, 156
-108, 740, 848, 243, 156
-106, 735, 841, 242, 157
-104, 738, 842, 241, 158
-543, 300, 843, 417, -17
-104, 739, 843, 241, 158
-524, 322, 846, 409, -9
-529, 318, 847, 411, -11
-537, 313, 850, 414, -14
-539, 304, 843, 415, -15
-548, 297, 845, 419, -19
-547, 299, 846, 418, -18
-543, 299, 842, 417, -17
-537, 301, 838, 414, -14
-539, 299, 838, 415, -15
-532, 300, 832, 412, -12
-540, 299, 839, 416, -16
-545, 298, 843, 418, -18
-542, 301, 843, 416, -16
-545, 298, 843, 418, -18
-545, 298, 843, 418, -18
-543, 301, 844, 417, -17
-545, 302, 847, 418, -18
-542, 303, 845, 416, -16
-548, 300, 848, 419, -19
-545, 300, 845, 418, -18
-544, 300, 844, 417, -17
-544, 298, 842, 417, -17
-541, 300, 841, 416, -16
-543, 298, 841, 417, -17
-541, 299, 840, 416, -16
-541, 299, 840, 416, -16
-538, 301, 839, 415, -15
-540, 300, 840, 416, -16
-538, 300, 838, 415, -15
-540, 300, 840, 416, -16
-540, 299, 839, 416, -16
-109, 731, 840, 243, 156
-101, 735, 836, 240, 159
-108, 735, 843, 243, 156
-107, 736, 843, 242, 157
-105, 737, 842, 242, 158
-105, 738, 843, 242, 158
-102, 739, 841, 240, 159
-103, 738, 841, 241, 158
-102, 741, 843, 240, 159
-101, 740, 841, 240, 159
-2, 845, 847, 200, 199
-110, 739, 849, 244, 156
-104, 739, 843, 241, 158
-108, 738, 846, 243, 156
-540, 300, 840, 416, -16
-543, 299, 842, 417, -17
-545, 298, 843, 418, -18
-541, 301, 842, 416, -16
-541, 301, 842, 416, -16
-543, 300, 843, 417, -17
-544, 297, 841, 417, -17
-538, 300, 838, 415, -15
-545, 300, 845, 418, -18
2, 842, 840, 199, 200
4, 845, 841, 198, 201
-1, 842, 843, 200, 199
2, 846, 844, 199, 200
3, 846, 843, 198, 201
2, 847, 845, 199, 200
-1, 846, 847, 200, 199
-1, 842, 843, 200, 199
-1, 843, 844, 200, 199
1, 842, 841, 199, 200
