oam_side,oam_speed[LEFT],oam_speed[RIGHT],DeltaS
1, -1, 301, 151
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
1, 150, 150, 0
0, 301, -1, -151
0, 355, -55, -205
0, 404, -104, -254
0, 387, -87, -237
0, 451, -151, -301
0, 618, -318, -468
0, 717, -417, -567
0, 750, -450, -600
0, 750, -450, -600
0, 750, -450, -600
0, 750, -450, -600
0, 750, -450, -600
0, 750, -450, -600
0, 750, -450, -600
0, 750, -450, -600
0, 750, -450, -600
0, 750, -450, -600
0, 750, -450, -600
0, 750, -450, -600
0, 750, -450, -600
0, 750, -450, -600
0, 668, -368, -518
0, 585, -285, -435
0, 536, -236, -386
0, 511, -211, -361
0, 344, -44, -194
0, 353, -53, -203
0, 347, -47, -197
0, 359, -59, -209
0, 363, -63, -213
0, 368, -68, -218
0, 372, -72, -222
0, 373, -73, -223
0, 373, -73, -223
0, 380, -80, -230
0, 384, -84, -234
0, 384, -84, -234
0, 383, -83, -233
0, 386, -86, -236
0, 387, -87, -237
0, 384, -84, -234
0, 384, -84, -234
0, 382, -82, -232
0, 380, -80, -230
0, 379, -79, -229
0, 376, -76, -226
0, 373, -73, -223
0, 374, -74, -224
